,FWER,sensitivity,sm_sigma,snr,n_subj,method,threshold_u,FWHM
284,0.06999999999999995,,0.0,2.25,15,Clusterwise RFT,3.2,3.330203933916739
285,0.18000000000000005,,0.0,2.25,20,Clusterwise RFT,2.6,3.3254245183111903
286,0.020000000000000018,,0.0,2.25,20,Clusterwise RFT,3.0,3.335927862455365
287,0.09999999999999998,,0.0,2.25,20,Clusterwise RFT,3.2,3.328222317840501
288,0.14,,0.0,2.25,30,Clusterwise RFT,2.6,3.3295223002485055
289,0.12,,0.0,2.25,30,Clusterwise RFT,3.0,3.3306463285324224
290,0.020000000000000018,,0.0,2.25,30,Clusterwise RFT,3.2,3.3231819727345218
291,0.25,,0.0,2.25,45,Clusterwise RFT,2.6,3.333379697962686
292,0.06999999999999995,,0.0,2.25,45,Clusterwise RFT,3.0,3.3307289731492595
293,0.040000000000000036,,0.0,2.25,45,Clusterwise RFT,3.2,3.329500556756782
294,0.19999999999999996,,0.0,2.25,60,Clusterwise RFT,2.6,3.331269100017656
295,0.040000000000000036,,0.0,2.25,60,Clusterwise RFT,3.0,3.33178172934189
296,0.010000000000000009,,0.0,2.25,60,Clusterwise RFT,3.2,3.331032412605118
297,0.0,,0.0,2.5,2,Clusterwise RFT,2.6,3.3542774759865868
298,0.0,,0.0,2.5,2,Clusterwise RFT,3.0,3.331900809588345
299,0.0,,0.0,2.5,2,Clusterwise RFT,3.2,3.2967454456041874
300,0.13,,0.0,2.5,5,Clusterwise RFT,2.6,3.337641113457782
301,0.040000000000000036,,0.0,2.5,5,Clusterwise RFT,3.0,3.3315155621824335
302,0.0,,0.0,2.5,5,Clusterwise RFT,3.2,3.3316548523744527
303,0.22999999999999998,,0.0,2.5,7,Clusterwise RFT,2.6,3.3283016887944274
304,0.040000000000000036,,0.0,2.5,7,Clusterwise RFT,3.0,3.3303345910684587
305,0.030000000000000027,,0.0,2.5,7,Clusterwise RFT,3.2,3.3198020104893735
306,0.21999999999999997,,0.0,2.5,10,Clusterwise RFT,2.6,3.3418370748454573
307,0.10999999999999999,,0.0,2.5,10,Clusterwise RFT,3.0,3.3316391687903177
308,0.040000000000000036,,0.0,2.5,10,Clusterwise RFT,3.2,3.325342947542699
309,0.22999999999999998,,0.0,2.5,15,Clusterwise RFT,2.6,3.3249106023354753
310,0.08999999999999997,,0.0,2.5,15,Clusterwise RFT,3.0,3.3346220258501527
311,0.030000000000000027,,0.0,2.5,15,Clusterwise RFT,3.2,3.332607196148293
312,0.30000000000000004,,0.0,2.5,20,Clusterwise RFT,2.6,3.3354396212185087
313,0.08999999999999997,,0.0,2.5,20,Clusterwise RFT,3.0,3.331037333072329
314,0.010000000000000009,,0.0,2.5,20,Clusterwise RFT,3.2,3.327384212015159
315,0.20999999999999996,,0.0,2.5,30,Clusterwise RFT,2.6,3.335058920317579
316,0.09999999999999998,,0.0,2.5,30,Clusterwise RFT,3.0,3.3251125742947005
317,0.030000000000000027,,0.0,2.5,30,Clusterwise RFT,3.2,3.333759093892521
318,0.21999999999999997,,0.0,2.5,45,Clusterwise RFT,2.6,3.334101736487989
319,0.06000000000000005,,0.0,2.5,45,Clusterwise RFT,3.0,3.329686871595315
320,0.06000000000000005,,0.0,2.5,45,Clusterwise RFT,3.2,3.3309990981078634
321,0.18999999999999995,,0.0,2.5,60,Clusterwise RFT,2.6,3.3258825527608296
322,0.10999999999999999,,0.0,2.5,60,Clusterwise RFT,3.0,3.3284127058100403
323,0.040000000000000036,,0.0,2.5,60,Clusterwise RFT,3.2,3.3331669177992755
324,0.0,,0.0,2.75,2,Clusterwise RFT,2.6,3.317709817514301
325,0.0,,0.0,2.75,2,Clusterwise RFT,3.0,3.3719413973581123
326,0.0,,0.0,2.75,2,Clusterwise RFT,3.2,3.311630604248063
327,0.24,,0.0,2.75,5,Clusterwise RFT,2.6,3.3377593126794767
