fwer,sensitivity,sm_sigma,snr,n,method,distribution
0.05,0.03520499108734403,2.5,2.0,5,Voxel-wise permutation,t
0.05,0.023707664884135476,2.5,2.25,5,Voxel-wise permutation,t
0.05,0.05463458110516933,2.5,2.5,5,Voxel-wise permutation,t
0.0,0.019073083778966132,2.5,2.75,5,Voxel-wise permutation,t
0.0,0.027896613190730835,2.5,3.0,5,Voxel-wise permutation,t
0.0,0.0,2.75,0.0,5,Voxel-wise permutation,t
0.1,0.0,2.75,0.1,5,Voxel-wise permutation,t
0.0,0.0,2.75,0.25,5,Voxel-wise permutation,t
0.05,0.0012077294685990338,2.75,0.5,5,Voxel-wise permutation,t
0.05,0.0045088566827697265,2.75,0.75,5,Voxel-wise permutation,t
0.0,0.0022544283413848632,2.75,1.0,5,Voxel-wise permutation,t
0.0,0.006682769726247986,2.75,1.25,5,Voxel-wise permutation,t
0.1,0.01320450885668277,2.75,1.5,5,Voxel-wise permutation,t
0.0,0.02399355877616747,2.75,1.75,5,Voxel-wise permutation,t
0.0,0.024798711755233495,2.75,2.0,5,Voxel-wise permutation,t
0.0,0.010144927536231883,2.75,2.25,5,Voxel-wise permutation,t
0.0,0.0393719806763285,2.75,2.5,5,Voxel-wise permutation,t
0.0,0.06940418679549114,2.75,2.75,5,Voxel-wise permutation,t
0.0,0.06199677938808375,2.75,3.0,5,Voxel-wise permutation,t
0.05,0.0,3.0,0.0,5,Voxel-wise permutation,t
0.0,0.0,3.0,0.1,5,Voxel-wise permutation,t
0.0,0.0,3.0,0.25,5,Voxel-wise permutation,t
0.0,0.0,3.0,0.5,5,Voxel-wise permutation,t
0.0,0.002349486049926579,3.0,0.75,5,Voxel-wise permutation,t
0.05,0.0041116005873715125,3.0,1.0,5,Voxel-wise permutation,t
0.0,0.0069750367107195305,3.0,1.25,5,Voxel-wise permutation,t
0.05,0.010866372980910427,3.0,1.5,5,Voxel-wise permutation,t
0.0,0.01762114537444934,3.0,1.75,5,Voxel-wise permutation,t
0.0,0.03135095447870778,3.0,2.0,5,Voxel-wise permutation,t
0.0,0.014831130690161527,3.0,2.25,5,Voxel-wise permutation,t
0.1,0.05411160058737152,3.0,2.5,5,Voxel-wise permutation,t
0.0,0.04052863436123348,3.0,2.75,5,Voxel-wise permutation,t
0.1,0.05895741556534508,3.0,3.0,5,Voxel-wise permutation,t
0.05,0.0,0.0,0.0,7,Voxel-wise permutation,t
0.2,0.0,0.0,0.1,7,Voxel-wise permutation,t
0.05,0.0,0.0,0.25,7,Voxel-wise permutation,t
0.0,0.0004424778761061947,0.0,0.5,7,Voxel-wise permutation,t
0.05,0.0,0.0,0.75,7,Voxel-wise permutation,t
0.1,0.0004424778761061947,0.0,1.0,7,Voxel-wise permutation,t
0.05,0.003097345132743363,0.0,1.25,7,Voxel-wise permutation,t
0.15,0.007079646017699115,0.0,1.5,7,Voxel-wise permutation,t
0.1,0.015044247787610621,0.0,1.75,7,Voxel-wise permutation,t
0.05,0.020796460176991154,0.0,2.0,7,Voxel-wise permutation,t
